Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction
47,1503,2,4,4,4,5,3,2,2,2,2,2,4,2,1,89,75.0,1,0,1,0,1,0,0,neutral or dissatisfied
59,417,3,3,2,3,2,5,3,4,4,2,2,2,4,3,32,32.0,1,0,0,1,0,1,0,neutral or dissatisfied
23,214,2,2,2,3,2,2,2,2,3,4,4,3,4,2,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
21,628,2,4,2,4,1,2,1,1,1,4,1,4,2,1,0,5.0,0,1,1,0,0,1,0,neutral or dissatisfied
44,267,3,1,1,1,5,1,2,2,2,3,2,4,2,5,0,0.0,1,0,1,0,0,1,0,satisfied
25,867,4,4,4,4,5,5,5,5,5,3,4,4,4,5,0,0.0,0,1,1,0,1,0,0,satisfied
39,2429,3,3,4,3,2,5,4,5,5,4,5,5,5,5,27,21.0,0,1,1,0,1,0,0,satisfied
54,3861,2,2,2,2,5,5,4,5,5,5,5,4,5,5,0,8.0,0,1,1,0,1,0,0,satisfied
37,2379,1,1,1,1,2,4,4,1,1,1,1,1,1,1,6,1.0,0,1,1,0,1,0,0,neutral or dissatisfied
37,1107,3,4,4,4,3,3,3,3,3,3,3,4,3,3,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
10,945,3,5,4,1,2,4,2,2,5,2,1,5,5,2,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
25,860,4,4,4,4,4,4,5,4,1,3,3,2,3,4,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
40,1613,2,3,3,3,3,2,2,4,4,4,2,4,4,1,0,9.0,1,0,1,0,1,0,0,neutral or dissatisfied
30,2521,0,0,0,3,3,0,3,3,2,4,5,5,4,3,2,0.0,0,1,1,0,0,1,0,satisfied
28,1124,3,5,3,2,2,3,4,2,3,5,3,5,5,2,6,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
37,270,1,1,1,4,5,1,5,5,3,1,4,4,3,5,1,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
23,448,5,0,5,4,2,5,2,2,5,5,5,4,3,2,18,8.0,0,1,1,0,0,1,0,satisfied
50,1217,3,5,3,1,4,3,1,4,5,3,3,2,2,4,0,1.0,0,1,0,1,0,1,0,neutral or dissatisfied
26,365,2,5,5,2,5,5,5,5,5,5,4,3,4,5,16,20.0,1,0,0,1,0,0,1,neutral or dissatisfied
33,1147,0,5,0,5,5,0,5,5,5,2,5,5,4,5,0,0.0,1,0,0,1,0,1,0,satisfied
35,1407,3,3,3,1,3,3,3,3,3,3,4,3,5,3,22,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
40,2561,2,2,2,2,3,4,5,4,4,4,4,5,4,3,0,0.0,0,1,1,0,1,0,0,satisfied
58,300,3,5,3,5,1,3,4,1,4,2,4,4,4,1,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
31,2881,3,4,4,4,3,3,3,3,3,2,4,3,4,3,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
41,3968,3,3,3,3,5,4,4,5,5,5,5,5,5,4,6,13.0,0,1,1,0,1,0,0,satisfied
41,1754,3,3,3,3,4,5,4,5,5,5,4,4,5,4,53,49.0,1,0,1,0,1,0,0,satisfied
22,957,1,4,1,4,2,1,2,2,1,5,3,3,4,2,1,3.0,1,0,0,1,0,1,0,neutral or dissatisfied
33,432,2,0,2,2,1,2,1,1,4,2,2,3,4,1,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
60,1050,1,3,1,4,1,5,1,3,3,1,3,5,3,4,53,77.0,1,0,0,1,0,1,0,neutral or dissatisfied
26,874,1,1,1,3,5,1,1,5,3,1,4,2,4,5,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
48,606,2,4,2,5,4,2,2,4,5,4,5,5,3,4,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
61,1900,2,2,2,2,2,5,4,4,4,4,4,3,4,4,74,55.0,1,0,1,0,1,0,0,satisfied
17,2615,1,1,3,1,5,5,5,5,3,5,5,5,5,5,0,0.0,1,0,1,0,1,0,0,satisfied
8,1522,1,5,5,5,1,1,1,1,3,3,4,3,3,1,3,4.0,0,1,1,0,1,0,0,neutral or dissatisfied
23,134,4,5,5,5,4,4,3,4,3,3,5,1,1,4,0,0.0,1,0,1,0,0,1,0,satisfied
45,588,5,5,5,5,2,5,4,5,5,5,5,3,5,4,11,0.0,1,0,1,0,1,0,0,satisfied
29,1188,5,5,5,5,5,5,5,5,3,4,5,3,5,5,7,11.0,0,1,1,0,1,0,0,satisfied
36,925,4,3,5,4,4,3,3,2,2,5,2,3,2,2,6,13.0,0,1,0,1,1,0,0,neutral or dissatisfied
10,1050,3,4,3,4,2,3,2,2,5,5,5,5,5,2,0,0.0,1,0,0,1,0,0,1,neutral or dissatisfied
36,255,5,5,5,5,3,4,4,4,4,4,4,5,4,5,0,0.0,1,0,1,0,1,0,0,satisfied
56,1504,2,4,2,3,4,4,4,2,2,2,2,1,2,3,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
53,1235,1,1,1,1,4,4,5,4,4,4,4,3,4,5,0,0.0,0,1,1,0,1,0,0,satisfied
46,2342,1,1,1,2,4,1,2,4,1,2,3,4,3,4,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
20,417,1,3,1,3,2,1,2,2,1,3,3,3,3,2,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
35,309,2,2,2,2,3,4,4,5,5,4,5,5,5,3,0,0.0,1,0,1,0,1,0,0,satisfied
34,1590,2,5,5,5,2,3,4,2,2,1,2,2,2,1,19,20.0,1,0,1,0,1,0,0,neutral or dissatisfied
41,2248,5,5,5,5,3,4,5,4,4,4,4,4,4,5,0,0.0,1,0,1,0,1,0,0,satisfied
27,938,5,5,5,2,4,5,1,4,3,2,4,4,4,4,0,0.0,0,1,1,0,1,0,0,satisfied
45,316,1,1,4,1,2,5,5,4,4,4,4,3,4,5,64,53.0,0,1,1,0,1,0,0,satisfied
28,259,3,5,3,1,5,3,5,5,2,2,5,5,3,5,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
52,3222,3,3,3,3,5,5,5,5,5,5,5,3,5,4,0,0.0,1,0,1,0,1,0,0,satisfied
66,200,4,3,0,2,2,0,2,2,1,5,3,3,3,2,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
55,216,3,3,3,3,5,3,4,2,2,3,2,3,2,1,0,4.0,1,0,1,0,0,1,0,neutral or dissatisfied
48,175,4,5,4,4,4,4,4,5,5,5,5,3,5,3,11,6.0,0,1,1,0,1,0,0,satisfied
23,396,3,3,3,2,4,3,4,4,3,3,3,3,2,4,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
22,544,2,2,2,3,4,2,3,4,1,1,2,3,3,4,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
27,524,2,0,2,1,3,2,3,3,3,3,4,5,1,3,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
53,546,2,1,2,2,4,1,1,1,1,2,1,3,1,2,26,26.0,1,0,0,1,0,1,0,neutral or dissatisfied
60,1623,4,4,4,4,4,5,4,5,5,5,5,3,5,5,0,3.0,0,1,1,0,1,0,0,satisfied
38,451,2,2,2,2,2,2,2,3,4,4,4,2,3,2,130,135.0,0,1,1,0,1,0,0,neutral or dissatisfied
21,416,4,4,4,3,1,4,4,1,3,5,5,5,2,1,5,2.0,0,1,0,1,0,0,1,neutral or dissatisfied
17,295,1,1,0,4,2,0,2,2,3,2,3,3,3,2,3,5.0,1,0,1,0,0,1,0,neutral or dissatisfied
38,406,2,3,3,3,2,2,2,2,4,1,3,2,3,2,12,34.0,0,1,1,0,0,0,1,neutral or dissatisfied
44,472,5,5,5,5,3,5,5,5,5,5,5,3,5,3,36,29.0,1,0,1,0,1,0,0,satisfied
17,1846,3,3,3,3,3,2,3,3,3,5,2,4,4,3,90,90.0,1,0,1,0,1,0,0,neutral or dissatisfied
16,425,4,2,5,2,4,5,5,4,4,2,3,5,5,4,0,0.0,1,0,1,0,0,1,0,satisfied
38,602,2,2,2,1,1,2,1,1,3,3,4,4,4,1,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
38,236,3,3,3,4,2,3,2,2,3,2,3,2,3,2,73,66.0,0,1,1,0,1,0,0,neutral or dissatisfied
35,255,5,5,5,5,2,5,3,5,5,5,5,2,5,5,0,0.0,0,1,1,0,1,0,0,satisfied
27,954,4,5,4,2,4,4,4,4,3,2,4,5,5,4,15,0.0,1,0,0,1,0,1,0,satisfied
58,489,0,3,0,4,1,0,1,1,2,1,3,4,3,1,0,0.0,0,1,0,1,0,1,0,satisfied
20,888,3,5,3,2,2,3,2,2,4,3,5,4,5,2,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
37,1285,2,2,2,3,4,2,4,4,2,5,3,3,3,4,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
49,1065,2,1,1,1,1,3,3,2,2,2,2,2,2,4,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
45,2853,4,4,3,4,4,4,3,4,4,4,4,4,4,4,10,11.0,0,1,1,0,1,0,0,satisfied
44,391,4,2,4,3,5,4,5,5,1,3,3,2,4,5,24,7.0,0,1,0,1,0,1,0,neutral or dissatisfied
62,1525,2,4,4,4,2,4,4,2,2,2,2,2,2,2,0,0.0,0,1,1,0,1,0,0,neutral or dissatisfied
40,590,2,3,2,3,4,2,4,4,3,1,3,2,3,4,37,35.0,1,0,0,1,0,1,0,neutral or dissatisfied
38,143,3,2,3,4,1,3,1,1,4,4,3,3,3,1,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
25,672,2,0,2,3,2,2,4,2,4,4,5,3,5,2,9,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
30,1020,1,2,0,3,5,0,5,5,4,1,3,4,3,5,50,35.0,1,0,0,1,0,1,0,neutral or dissatisfied
59,1514,3,3,3,3,5,4,4,5,5,5,5,3,5,5,104,91.0,0,1,1,0,1,0,0,satisfied
25,1892,2,2,2,2,2,2,2,2,1,5,3,3,4,2,0,0.0,0,1,1,0,1,0,0,neutral or dissatisfied
50,645,4,2,2,2,4,4,4,4,3,1,1,4,4,4,112,96.0,0,1,1,0,0,0,1,satisfied
15,870,1,0,0,5,5,0,5,5,4,4,5,5,5,5,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
19,3936,1,1,4,1,3,3,3,3,3,2,5,4,5,3,23,5.0,0,1,1,0,1,0,0,satisfied
21,2193,2,2,2,2,4,4,4,4,3,5,5,3,5,4,0,0.0,0,1,1,0,1,0,0,satisfied
48,642,1,3,3,3,2,3,4,1,1,1,1,3,1,3,71,61.0,1,0,1,0,0,1,0,neutral or dissatisfied
24,1438,3,2,2,4,4,3,3,4,2,1,4,4,3,4,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
42,300,3,3,3,3,3,3,3,5,5,3,5,1,5,3,52,62.0,1,0,0,1,0,1,0,neutral or dissatisfied
36,1242,4,4,4,4,2,5,4,5,5,5,5,4,5,5,0,0.0,0,1,1,0,1,0,0,satisfied
57,370,3,4,4,3,3,4,3,3,4,5,5,5,2,3,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
41,331,5,5,5,5,4,5,4,4,3,2,2,3,5,4,0,0.0,1,0,1,0,0,1,0,satisfied
44,449,3,3,3,4,2,3,2,2,4,4,3,4,4,2,0,24.0,1,0,1,0,0,1,0,neutral or dissatisfied
17,597,3,0,3,3,4,3,4,4,2,1,4,1,1,4,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
44,678,2,2,2,2,3,5,4,3,3,2,3,4,3,3,0,2.0,0,1,1,0,1,0,0,satisfied
50,296,2,3,2,3,2,1,1,2,2,3,3,1,3,1,155,237.0,1,0,1,0,0,1,0,neutral or dissatisfied
51,991,4,4,4,4,5,4,5,5,5,5,5,5,5,3,0,0.0,0,1,1,0,1,0,0,satisfied
15,2172,3,4,3,4,1,3,4,1,4,3,4,4,4,1,0,1.0,0,1,0,1,1,0,0,neutral or dissatisfied
16,1426,1,2,1,3,5,1,5,5,4,3,2,4,4,5,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
17,853,5,5,5,3,1,5,1,1,5,5,2,3,3,1,108,114.0,1,0,1,0,0,1,0,satisfied
53,811,4,5,5,5,4,4,4,4,2,3,5,2,3,4,9,0.0,0,1,1,0,0,1,0,satisfied
54,2760,0,0,0,1,3,4,4,3,3,3,3,3,3,5,0,1.0,1,0,1,0,1,0,0,satisfied
40,488,4,1,1,1,4,4,4,4,4,5,4,4,3,4,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
14,1188,1,1,1,3,2,1,2,2,5,3,4,3,5,2,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
60,3851,2,3,3,3,3,3,4,2,2,2,2,1,2,4,23,22.0,1,0,1,0,1,0,0,neutral or dissatisfied
32,283,4,0,4,5,5,4,5,5,3,3,1,3,1,5,0,8.0,1,0,1,0,0,1,0,neutral or dissatisfied
33,302,4,5,4,4,1,4,1,1,3,3,5,3,5,1,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
34,1995,3,3,3,5,3,3,3,3,3,2,4,3,5,3,0,0.0,0,1,1,0,1,0,0,neutral or dissatisfied
69,198,4,2,2,2,4,1,3,3,3,4,3,2,3,2,0,0.0,1,0,1,0,0,1,0,satisfied
73,179,4,1,1,1,4,4,4,4,5,1,3,4,4,4,0,0.0,0,1,1,0,0,1,0,satisfied
53,1069,1,2,1,3,4,3,4,1,1,1,1,4,1,2,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
30,563,1,1,1,3,3,1,1,3,2,4,3,1,3,3,0,2.0,0,1,1,0,0,1,0,neutral or dissatisfied
64,1608,1,5,1,3,2,1,2,2,3,5,4,4,4,2,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
32,3405,2,2,2,2,4,4,4,4,3,4,2,4,1,4,14,23.0,1,0,1,0,1,0,0,satisfied
47,2718,2,2,2,2,2,4,5,4,4,4,4,3,4,3,0,0.0,0,1,1,0,1,0,0,satisfied
54,314,1,4,4,4,2,1,2,2,4,1,3,4,4,2,0,21.0,0,1,1,0,0,1,0,neutral or dissatisfied
9,483,2,4,2,3,2,2,4,2,3,5,4,5,4,2,48,48.0,1,0,0,1,0,1,0,neutral or dissatisfied
71,366,4,4,4,4,4,4,4,4,4,2,4,4,4,4,0,0.0,0,1,1,0,0,0,1,neutral or dissatisfied
33,3036,3,3,3,3,3,2,3,3,1,2,3,1,3,3,0,0.0,0,1,1,0,1,0,0,neutral or dissatisfied
38,328,4,4,4,2,2,4,2,2,4,2,4,4,5,2,0,0.0,1,0,1,0,1,0,0,satisfied
42,2370,4,4,4,4,2,2,2,4,4,5,4,2,5,2,0,0.0,0,1,1,0,1,0,0,satisfied
10,669,5,0,5,4,2,5,1,2,3,3,4,5,5,2,0,0.0,0,1,1,0,1,0,0,satisfied
24,2981,0,0,0,3,3,3,3,3,3,3,5,3,4,3,9,4.0,1,0,1,0,1,0,0,satisfied
8,1379,2,4,2,4,4,2,4,4,4,5,5,4,5,4,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
33,134,2,0,1,3,4,1,4,4,2,1,4,4,3,4,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
50,1438,4,5,4,4,2,4,2,2,3,3,4,3,4,2,0,0.0,0,1,0,1,0,1,0,satisfied
30,2370,3,4,3,4,2,3,2,2,5,5,4,3,5,2,13,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
44,2975,1,1,1,1,2,5,5,5,5,4,5,5,5,3,0,0.0,0,1,1,0,1,0,0,satisfied
60,1222,4,3,3,3,5,1,1,4,4,4,4,5,4,1,0,0.0,1,0,1,0,0,1,0,satisfied
38,109,1,3,1,1,5,1,5,5,3,5,1,2,5,5,31,27.0,1,0,0,1,0,1,0,neutral or dissatisfied
7,679,1,3,1,4,2,1,2,2,2,2,3,4,4,2,43,36.0,1,0,0,1,0,1,0,neutral or dissatisfied
46,268,3,1,3,4,5,3,3,3,3,3,3,1,3,2,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
54,2273,2,2,2,2,4,5,5,4,4,4,4,5,4,4,13,3.0,1,0,1,0,1,0,0,satisfied
32,157,5,2,2,2,5,5,5,5,5,4,5,1,3,5,56,48.0,0,1,1,0,0,1,0,satisfied
34,2643,5,5,5,5,3,2,5,3,3,4,3,2,3,1,0,0.0,0,1,1,0,1,0,0,satisfied
49,689,3,3,2,3,1,3,2,4,4,2,4,4,4,1,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
34,1587,1,4,4,4,1,2,2,1,1,1,1,2,1,3,0,0.0,0,1,1,0,1,0,0,neutral or dissatisfied
34,338,1,1,1,4,3,1,3,3,5,2,4,3,4,3,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
13,584,2,2,2,2,5,2,5,5,2,5,3,2,3,5,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
45,229,0,0,0,4,4,4,4,2,2,2,2,3,2,3,0,0.0,1,0,1,0,1,0,0,satisfied
52,1781,1,1,1,1,2,5,5,4,4,4,4,5,4,4,49,39.0,1,0,1,0,1,0,0,satisfied
45,429,2,2,2,3,3,3,4,2,2,2,2,4,2,1,70,55.0,1,0,0,1,0,1,0,neutral or dissatisfied
17,524,2,4,2,2,3,2,4,3,4,4,5,5,5,3,1,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
47,1773,3,1,1,1,3,3,3,3,3,3,3,3,3,3,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
31,231,5,2,5,5,5,5,5,5,2,2,2,3,1,5,22,14.0,0,1,1,0,0,1,0,satisfied
40,920,3,4,2,4,3,3,3,3,3,3,3,1,3,2,3,5.0,1,0,1,0,1,0,0,neutral or dissatisfied
38,101,5,5,5,5,4,5,5,5,5,5,4,4,5,2,0,0.0,0,1,1,0,1,0,0,satisfied
39,169,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,3.0,0,1,0,1,0,1,0,neutral or dissatisfied
42,2232,2,2,2,2,2,5,4,5,5,5,5,5,5,5,10,7.0,1,0,1,0,1,0,0,satisfied
37,236,3,3,3,2,5,3,5,5,4,2,2,4,2,5,57,45.0,0,1,1,0,1,0,0,neutral or dissatisfied
37,534,4,4,4,3,2,4,2,2,4,4,4,5,4,2,12,1.0,0,1,1,0,1,0,0,satisfied
29,775,1,1,1,4,2,1,1,2,4,2,3,1,4,2,0,30.0,0,1,0,1,1,0,0,neutral or dissatisfied
37,2762,1,1,1,1,3,3,3,2,4,4,3,3,3,3,0,0.0,1,0,1,0,1,0,0,satisfied
31,468,4,4,1,4,3,1,3,3,5,5,5,2,2,3,0,11.0,0,1,0,1,0,1,0,neutral or dissatisfied
24,864,2,2,2,2,2,2,4,2,4,2,3,3,3,2,6,2.0,1,0,1,0,0,1,0,neutral or dissatisfied
49,1055,4,1,1,1,5,4,5,5,4,3,5,1,4,5,0,0.0,0,1,1,0,0,1,0,satisfied
32,309,3,3,3,1,4,3,4,4,5,5,5,5,4,4,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
34,449,3,4,3,4,1,3,1,1,2,2,4,2,3,1,3,1.0,0,1,0,1,0,1,0,neutral or dissatisfied
70,867,3,5,3,2,1,3,5,3,3,3,3,5,3,1,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
23,369,2,3,2,2,5,2,5,5,2,5,3,3,3,5,1,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
27,1970,0,5,0,4,1,1,1,1,4,4,4,4,4,1,0,4.0,1,0,1,0,1,0,0,satisfied
22,283,5,5,5,2,5,5,5,5,5,4,5,5,4,5,6,4.0,0,1,1,0,1,0,0,satisfied
48,950,3,4,4,4,4,3,4,4,4,1,3,4,2,4,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
54,1744,4,4,4,4,5,4,4,5,4,3,5,4,4,4,302,319.0,0,1,1,0,1,0,0,satisfied
23,1190,3,3,3,2,1,3,1,1,2,3,2,2,2,1,2,8.0,0,1,1,0,0,1,0,neutral or dissatisfied
55,325,2,2,2,2,4,5,5,5,5,5,5,4,5,3,0,0.0,1,0,1,0,1,0,0,satisfied
45,663,1,3,2,3,1,2,1,1,2,4,3,1,4,1,6,7.0,0,1,0,1,0,0,1,neutral or dissatisfied
47,277,3,3,3,3,4,4,4,4,4,5,5,4,3,4,157,143.0,1,0,1,0,1,0,0,satisfied
44,1872,3,3,4,3,4,4,4,2,2,2,2,5,2,5,0,0.0,0,1,1,0,1,0,0,satisfied
23,448,4,4,4,5,4,4,4,4,5,5,5,3,4,4,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
40,3850,1,1,1,1,4,1,2,4,4,4,4,3,4,2,5,5.0,0,1,1,0,1,0,0,satisfied
47,317,3,1,1,1,4,4,3,3,3,3,3,4,3,4,19,6.0,1,0,1,0,1,0,0,neutral or dissatisfied
70,846,3,4,3,3,4,5,5,3,3,3,3,4,3,4,19,21.0,1,0,0,1,0,1,0,neutral or dissatisfied
70,1545,2,4,4,4,2,3,4,3,3,3,2,4,3,1,27,11.0,0,1,1,0,1,0,0,neutral or dissatisfied
49,236,4,3,3,3,4,4,4,4,4,5,4,4,4,4,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
51,3804,5,5,4,5,5,4,5,5,5,5,5,3,5,4,0,5.0,1,0,1,0,1,0,0,satisfied
36,2290,1,4,4,4,1,4,4,1,1,1,1,3,1,2,0,12.0,1,0,1,0,1,0,0,neutral or dissatisfied
51,1801,3,3,3,3,3,4,3,5,5,5,5,1,5,4,0,0.0,1,0,1,0,1,0,0,satisfied
45,3312,3,3,3,3,4,5,4,5,5,5,5,4,5,5,28,34.0,1,0,1,0,1,0,0,satisfied
39,2024,1,1,1,1,4,4,4,4,4,4,4,3,4,4,23,22.0,0,1,1,0,1,0,0,satisfied
28,575,1,4,1,4,4,1,1,4,5,3,5,5,5,4,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
50,190,1,4,0,3,3,3,4,3,3,0,3,1,3,4,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
23,240,3,4,3,3,4,3,3,4,3,4,4,1,4,4,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
66,216,2,5,5,5,3,4,3,5,5,4,2,3,5,4,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
57,2241,1,1,1,1,4,4,5,4,4,5,4,3,4,3,0,0.0,1,0,1,0,1,0,0,satisfied
23,501,4,4,5,3,5,5,4,5,5,4,5,3,5,5,11,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
25,1379,3,3,3,3,1,3,1,1,2,5,4,3,4,1,5,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
13,145,1,5,1,4,1,1,1,1,5,2,3,2,3,1,0,0.0,0,1,0,1,0,0,1,neutral or dissatisfied
31,1521,3,3,3,4,2,3,1,2,4,1,2,4,4,2,6,8.0,0,1,0,1,0,1,0,neutral or dissatisfied
46,2079,1,1,1,1,4,5,4,4,4,4,4,4,4,3,0,41.0,0,1,1,0,1,0,0,satisfied
23,1165,3,3,3,4,5,3,5,5,4,4,4,3,3,5,35,28.0,1,0,1,0,0,1,0,neutral or dissatisfied
22,1214,5,5,5,2,1,5,1,1,4,1,4,2,4,1,0,0.0,0,1,1,0,0,1,0,satisfied
43,3598,2,2,2,2,5,5,5,5,4,5,4,5,4,5,109,137.0,0,1,1,0,1,0,0,satisfied
21,628,2,5,1,4,1,1,1,1,4,3,5,5,4,1,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
55,1598,4,1,5,3,2,5,2,2,2,5,1,2,3,2,41,16.0,0,1,0,1,0,1,0,neutral or dissatisfied
42,1664,5,5,5,5,4,4,4,5,5,5,5,4,5,4,0,0.0,0,1,1,0,1,0,0,satisfied
36,3470,4,4,4,4,2,4,5,2,2,2,2,4,2,4,36,24.0,1,0,1,0,1,0,0,satisfied
25,3861,1,1,3,1,4,4,4,4,4,2,5,3,4,4,70,54.0,0,1,1,0,1,0,0,satisfied
38,2329,2,4,2,1,5,2,4,5,5,5,3,4,5,5,12,18.0,0,1,0,1,0,1,0,neutral or dissatisfied
41,802,4,4,4,4,4,4,4,4,4,1,3,1,3,4,16,6.0,1,0,1,0,0,1,0,neutral or dissatisfied
36,844,1,1,1,1,2,1,3,4,4,4,4,4,4,2,0,0.0,0,1,1,0,1,0,0,satisfied
58,1475,4,5,4,1,4,3,5,3,3,4,3,3,3,4,0,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
44,2337,3,3,3,3,5,4,4,5,5,5,5,3,5,4,0,0.0,0,1,1,0,1,0,0,satisfied
40,1142,3,5,5,5,4,4,4,3,3,3,3,2,3,1,0,2.0,1,0,1,0,1,0,0,neutral or dissatisfied
56,3568,1,1,1,1,2,5,5,4,4,4,4,4,4,5,0,0.0,1,0,1,0,1,0,0,satisfied
68,641,3,5,2,2,2,4,5,1,1,2,1,4,1,4,15,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
43,972,1,2,2,2,4,3,3,1,1,1,1,4,1,3,7,17.0,1,0,1,0,0,1,0,neutral or dissatisfied
41,164,3,3,3,1,5,3,5,5,2,2,1,5,3,5,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
37,224,2,4,4,4,2,2,2,2,1,1,4,3,4,2,7,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
24,227,2,3,2,3,1,2,1,1,4,3,4,3,4,1,3,0.0,0,1,1,0,1,0,0,neutral or dissatisfied
42,1055,4,4,4,3,2,4,2,2,4,5,4,4,5,2,8,0.0,0,1,1,0,1,0,0,satisfied
20,495,4,3,4,2,5,4,4,5,1,2,3,3,3,5,0,0.0,0,1,1,0,0,1,0,satisfied
49,1276,2,5,5,5,1,3,3,2,2,2,2,1,2,2,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
38,1598,2,2,2,2,2,2,2,2,4,4,3,2,4,2,148,139.0,1,0,1,0,0,1,0,neutral or dissatisfied
34,78,4,2,2,2,4,4,4,4,4,5,4,4,4,4,16,19.0,0,1,1,0,0,0,1,neutral or dissatisfied
65,500,5,4,5,3,2,1,4,5,5,5,5,2,5,4,13,2.0,1,0,0,1,0,1,0,satisfied
59,214,4,4,4,4,2,2,2,5,5,4,5,1,5,4,0,11.0,1,0,1,0,0,1,0,neutral or dissatisfied
24,819,3,3,3,5,2,3,2,2,4,5,4,2,4,2,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
44,190,5,5,5,1,4,5,4,4,3,3,5,4,4,4,9,2.0,0,1,1,0,1,0,0,satisfied
14,972,4,4,4,1,3,4,3,3,5,2,4,4,5,3,5,0.0,0,1,1,0,0,1,0,satisfied
22,1056,3,3,3,3,3,3,3,3,4,3,3,1,3,3,30,47.0,1,0,1,0,0,1,0,neutral or dissatisfied
20,780,4,4,4,1,5,4,5,5,2,5,2,1,5,5,73,83.0,1,0,1,0,0,1,0,neutral or dissatisfied
21,456,3,4,3,3,3,3,1,3,5,4,5,5,5,3,1,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
43,1212,4,4,4,3,2,4,2,2,4,5,2,2,4,2,9,1.0,1,0,1,0,0,1,0,neutral or dissatisfied
